class_performance,internship_placement_reports
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5063291139240506,0.49367088607594933
0.5063291139240506,0.49367088607594933
0.5126561999359179,0.487343800064082
0.5126561999359179,0.487343800064082
0.5189792327216406,0.48102076727835935
0.5189792327216406,0.48102076727835935
0.5189792327216406,0.48102076727835935
0.5189792327216406,0.48102076727835935
0.5252961921566301,0.4747038078433698
0.5252961921566301,0.4747038078433698
0.531605065882714,0.46839493411728605
0.531605065882714,0.46839493411728605
0.531605065882714,0.46839493411728605
0.531605065882714,0.46839493411728605
0.531605065882714,0.46839493411728605
0.531605065882714,0.46839493411728605
0.531605065882714,0.46839493411728605
0.537903851864097,0.4620961481359031
0.537903851864097,0.4620961481359031
0.5441905609153697,0.4558094390846304
0.5504632191948173,0.4495367808051826
0.5504632191948173,0.4495367808051826
0.5504632191948173,0.4495367808051826
0.5504632191948173,0.4495367808051826
0.5567198706564468,0.4432801293435532
0.5629585794543362,0.43704142054566364
0.5629585794543362,0.43704142054566364
0.5691774322931344,0.43082256770686556
0.5691774322931344,0.43082256770686556
0.5691774322931344,0.43082256770686556
0.5691774322931344,0.43082256770686556
0.5691774322931344,0.43082256770686556
0.5753745407187749,0.424625459281225
0.5753745407187749,0.424625459281225
0.5753745407187749,0.424625459281225
0.5753745407187749,0.424625459281225
0.5753745407187749,0.424625459281225
0.5815480433437483,0.4184519566562516
0.5815480433437483,0.4184519566562516
0.5815480433437483,0.4184519566562516
0.5876961080015612,0.4123038919984387
0.5938169338253304,0.40618306617466965
0.5938169338253304,0.40618306617466965
0.5999087532457903,0.40009124675420965
0.6059698339043461,0.3940301660956539
0.6119984804771638,0.3880015195228363
0.6119984804771638,0.3880015195228363
0.6119984804771638,0.3880015195228363
0.6179930364066717,0.38200696359332825
0.623951885537232,0.37604811446276803
0.623951885537232,0.37604811446276803
0.6298734536521329,0.37012654634786707
0.6357562099094579,0.3642437900905422
0.6415986681747835,0.3584013318252165
0.647399388249066,0.3526006117509341
0.647399388249066,0.3526006117509341
0.647399388249066,0.3526006117509341
0.647399388249066,0.3526006117509341
0.647399388249066,0.3526006117509341
0.647399388249066,0.3526006117509341
0.647399388249066,0.3526006117509341
0.6531569769904717,0.3468430230095283
0.6531569769904717,0.3468430230095283
0.6531569769904717,0.3468430230095283
0.6531569769904717,0.3468430230095283
0.6531569769904717,0.3468430230095283
0.6531569769904717,0.3468430230095283
0.6531569769904717,0.3468430230095283
0.6531569769904717,0.3468430230095283
0.6531569769904717,0.3468430230095283
0.6531569769904717,0.3468430230095283
0.6588700893293101,0.3411299106706899
0.6588700893293101,0.3411299106706899
0.6588700893293101,0.3411299106706899
0.6588700893293101,0.3411299106706899
0.6645374291756102,0.3354625708243897
0.6701577502192714,0.32984224978072857
0.6757298566230857,0.3242701433769144
0.6812526036092927,0.3187473963907073
0.6867248979406744,0.3132751020593257
0.6921456982975264,0.30785430170247363
0.6921456982975264,0.30785430170247363
0.6921456982975264,0.30785430170247363
0.697514015552164,0.30248598444783614
0.697514015552164,0.30248598444783614
0.7028289129429123,0.2971710870570876
0.7028289129429123,0.2971710870570876
0.7080895061498188,0.29191049385018114
0.7132949632745771,0.28670503672542297
0.7132949632745771,0.28670503672542297
0.7132949632745771,0.28670503672542297
0.7132949632745771,0.28670503672542297
0.7132949632745771,0.28670503672542297
0.7132949632745771,0.28670503672542297
0.7132949632745771,0.28670503672542297
0.7184445047274032,0.2815554952725967
0.7235374030238187,0.27646259697618125
0.7235374030238187,0.27646259697618125
0.7285729824944964,0.27142701750550347
0.7285729824944964,0.27142701750550347
0.7285729824944964,0.27142701750550347
0.7335506189115081,0.2664493810884918
0.7335506189115081,0.2664493810884918
0.738469739034466,0.261530260965534
0.738469739034466,0.261530260965534
0.738469739034466,0.261530260965534
0.738469739034466,0.261530260965534
0.738469739034466,0.261530260965534
0.738469739034466,0.261530260965534
0.738469739034466,0.261530260965534
0.738469739034466,0.261530260965534
0.7433298200801919,0.25667017991980806
0.7433298200801919,0.25667017991980806
0.7433298200801919,0.25667017991980806
0.7481303891196625,0.25186961088033755
0.7481303891196625,0.25186961088033755
0.7481303891196625,0.25186961088033755
0.752871022406075,0.24712897759392505
0.757551344637957,0.24244865536204302
0.757551344637957,0.24244865536204302
0.757551344637957,0.24244865536204302
0.757551344637957,0.24244865536204302
0.7621710281612973,0.2378289718387027
0.7667297921147159,0.23327020788528405
0.7712274015217109,0.22877259847828912
0.7712274015217109,0.22877259847828912
0.7756636663340216,0.22433633366597833
0.7756636663340216,0.22433633366597833
0.7756636663340216,0.22433633366597833
0.7800384404301373,0.2199615595698627
0.7843516205729467,0.21564837942705334
0.7843516205729467,0.21564837942705334
0.7843516205729467,0.21564837942705334
0.7886031453304866,0.2113968546695134
0.7886031453304866,0.2113968546695134
0.7886031453304866,0.2113968546695134
0.7886031453304866,0.2113968546695134
0.7886031453304866,0.2113968546695134
0.7886031453304866,0.2113968546695134
0.7886031453304866,0.2113968546695134
0.7886031453304866,0.2113968546695134
0.7886031453304866,0.2113968546695134
0.7886031453304866,0.2113968546695134
0.7927929939636853,0.20720700603631467
0.7969211852849304,0.20307881471506964
0.8009877764912077,0.19901222350879227
0.8009877764912077,0.19901222350879227
0.8049928619754688,0.19500713802453118
0.8049928619754688,0.19500713802453118
0.8089365721197801,0.19106342788021985
0.8089365721197801,0.19106342788021985
0.8128190720737006,0.18718092792629934
0.8128190720737006,0.18718092792629934
0.816640560521216,0.183359439478784
0.816640560521216,0.183359439478784
0.816640560521216,0.183359439478784
0.816640560521216,0.183359439478784
0.816640560521216,0.183359439478784
0.816640560521216,0.183359439478784
0.8204012684394345,0.17959873156056555
0.8241014578521207,0.1758985421478792
0.8241014578521207,0.1758985421478792
0.8241014578521207,0.1758985421478792
0.8241014578521207,0.1758985421478792
0.8241014578521207,0.1758985421478792
0.8241014578521207,0.1758985421478792
0.8241014578521207,0.1758985421478792
0.8241014578521207,0.1758985421478792
0.8241014578521207,0.1758985421478792
0.8241014578521207,0.1758985421478792
0.8241014578521207,0.1758985421478792
0.8241014578521207,0.1758985421478792
0.8241014578521207,0.1758985421478792
0.8241014578521207,0.1758985421478792
